"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"761","RT @amritabhinder: Here is the first Arab #PadmaShri @NoufMarwaai in my car and is now a @BJP4India fan :)<U+2764><U+FE0F>

Already she’s PM @narendramod…",FALSE,0,NA,2018-02-27 07:32:06,FALSE,NA,"968388253865992195",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mayankforbjp",204,TRUE,FALSE,NA,NA
"762","@ndtv @GargiRawat Only for 6 years . #ShameOnBJP 
He should suspended for life @BJP4India",FALSE,0,"ndtv",2018-02-27 07:32:01,FALSE,"968385018929311745","968388235004186625","37034483","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akshayKGT",0,FALSE,FALSE,NA,NA
"763","RT @SMedia4: How long can @BJP4India survive in SM warfare with only lion hearted supporters, if media and IT cells are same washed out fac…",FALSE,0,NA,2018-02-27 07:31:53,FALSE,NA,"968388199642030081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Koustubh1",19,TRUE,FALSE,NA,NA
"764","We request #KCR not drink more before public meetings,Public are watching #KCR u don't have the right to disgrace H… https://t.co/sDwpgVVZDB",FALSE,0,NA,2018-02-27 07:31:50,TRUE,NA,"968388186593550336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Harishr41768370",3,FALSE,FALSE,NA,NA
"765","RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…",FALSE,0,NA,2018-02-27 07:31:49,FALSE,NA,"968388185276452865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DMandlaus",192,TRUE,FALSE,NA,NA
"766","Apart from a few garish turbans and regular extended speeches in Urdu as a cover for not implementing election prom… https://t.co/mXVsccfL0o",FALSE,0,NA,2018-02-27 07:31:49,TRUE,NA,"968388184018247680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Suchindranath",0,FALSE,FALSE,NA,NA
"767","@BJP4India @narendramodi Have Indian businessmen learned anything from Koreans? Why the quality of Indian products so sub-standard?",FALSE,0,"BJP4India",2018-02-27 07:31:42,FALSE,"968351081452404736","968388155077513218","207809313","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","goldenTwine",0,FALSE,FALSE,NA,NA
"768","RT @Kunal79368562: @TawdeVinod @Dev_Fadnavis @rajnathsingh @BJP4India @mnsadhikrut @ShivSena 
My Q to everyone. If my mother tongue has alr…",FALSE,0,NA,2018-02-27 07:31:40,FALSE,NA,"968388147561287682",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vatvaghool",9,TRUE,FALSE,NA,NA
"769","RT @siddaramaiah: PM @narendramodi loves to talk of corruption in administrations of the past &amp; of states not ruled by  @BJP4India 

Sir, i…",FALSE,0,NA,2018-02-27 07:31:39,FALSE,NA,"968388142767267840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aushafma",990,TRUE,FALSE,NA,NA
"770","RT @BJP4India: From Princess to Poetry and from Buddha to Bollywood; India &amp; Korea have so much in common : PM @narendramodi - Watch at htt…",FALSE,0,NA,2018-02-27 07:31:37,FALSE,NA,"968388134076530688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Navneetsingh_IN",86,TRUE,FALSE,NA,NA
